temp,humidity,metabolic_rate,clothing_insulation,heart_rate,skin_temp,score
25.791956506857908,62.875616403565324,1.1934976635349315,1.0686826020444016,85.38,32.58152,-117.9615200805664
26.266779832171824,64.63353346811334,1.1485912568368772,0.6940774150308582,82.71,33.25095,-115.96094985961913
27.76877705273957,61.398824439573175,1.136398680957372,0.8400886736463931,82.68,33.162693,-115.84269302368165
27.160622452457474,61.02019946188905,1.1958992978138383,0.7687948587929581,82.74,32.675884,-115.41588424682617
26.82764702516785,62.77596892334252,1.6326046533531429,1.0435654456598236,81.85,32.876255,-114.72625503540038
26.90409483355671,67.43023625625702,1.9726561697850695,0.7085819307042687,80.69,33.83571,-114.52570861816406
27.125056632804515,66.95204575830778,1.84885072417288,0.8306735934104317,80.39,33.857487,-114.24748672485352
27.989834020055362,67.46772722383326,1.9724936258144745,0.30086777783842517,81.12,33.11942,-114.2394190979004
26.244886418704148,65.44496750028605,1.1685066951108853,0.7215110564035039,80.91,33.259377,-114.1693765258789
25.283637545475734,65.01411828844152,1.0452599166625227,1.086364032310534,81.52,32.470966,-113.99096633911132
